subscribers,video views,category,uploads,Country,channel_type,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,Gross tertiary education enrollment (%),Population,Unemployment rate
21500000,5890180734.0,People & Blogs,51,United States,Music,340600.0,5400000.0,2018.0,Apr,88.2,328239523.0,14.7
21500000,15013096899.0,News & Politics,158,Mexico,Entertainment,46.0,742.0,2014.0,Jan,40.2,126014024.0,3.42
21500000,8409641722.0,Gaming,17,Chile,People,0.15,2.0,2016.0,Jul,88.5,18952038.0,7.09
21400000,6264261757.0,Music,114,India,Music,482100.0,7700000.0,2017.0,Oct,28.1,1366417754.0,5.36
21300000,6269945014.0,People & Blogs,733,United States,People,480700.0,7700000.0,2017.0,Apr,88.2,328239523.0,14.7
21300000,10644857969.0,Music,78,United States,Music,309500.0,5000000.0,2011.0,Sep,88.2,328239523.0,14.7
21300000,12761253839.0,People & Blogs,951,India,People,2200000.0,35000000.0,2016.0,Jul,28.1,1366417754.0,5.36
21300000,5141834668.0,Entertainment,1608,United States,Entertainment,205100.0,3300000.0,2014.0,Aug,88.2,328239523.0,14.7
21300000,10047736580.0,Entertainment,669,India,Entertainment,708900.0,11300000.0,2021.0,Feb,28.1,1366417754.0,5.36
21300000,12895427184.0,Entertainment,20225,India,Entertainment,1700000.0,26900000.0,2017.0,Aug,28.1,1366417754.0,5.36
21200000,11364908616.0,Entertainment,31989,Philippines,News,427000.0,6800000.0,2009.0,Aug,35.5,108116615.0,2.15
21100000,5783557209.0,Howto & Style,4728,United States,Howto,74100.0,1200000.0,2016.0,Jan,88.2,328239523.0,14.7
21100000,4526271677.0,People & Blogs,2325,Indonesia,Entertainment,80900.0,1300000.0,2016.0,Jun,36.3,270203917.0,4.69
21000000,4380564906.0,Entertainment,403,United States,Entertainment,7400.0,118900.0,2006.0,Jul,88.2,328239523.0,14.7
21000000,7762905663.0,Entertainment,2883,Brazil,Entertainment,355200.0,5700000.0,2015.0,Aug,51.3,212559417.0,12.08
21000000,10631638628.0,Entertainment,420,United States,Entertainment,240200.0,3800000.0,2013.0,Mar,88.2,328239523.0,14.7
20900000,1693149479.0,Education,896,India,Education,85800.0,1400000.0,2013.0,Dec,28.1,1366417754.0,5.36
20900000,3828000587.0,Entertainment,6262,Brazil,Entertainment,157000.0,2500000.0,2013.0,Sep,51.3,212559417.0,12.08
20900000,4927879069.0,Pets & Animals,982,United States,Animals,0.0,0.0,2014.0,Sep,88.2,328239523.0,14.7
20900000,11058049885.0,People & Blogs,9850,United States,People,1200000.0,18400000.0,2020.0,Aug,88.2,328239523.0,14.7
20900000,17324976752.0,Music,6,United States,Music,0.3,5.0,2006.0,Jul,88.2,328239523.0,14.7
20800000,1870608170.0,Comedy,288,Brazil,Comedy,71700.0,1100000.0,2011.0,Apr,51.3,212559417.0,12.08
20800000,2378448129.0,Education,193,Germany,Education,87800.0,1400000.0,2013.0,Jul,70.2,83132799.0,3.04
20700000,17963202261.0,Entertainment,619,United States,Entertainment,2600000.0,42000000.0,2020.0,Sep,88.2,328239523.0,14.7
