,subscribers,youtuber,video_views,channel_category,channel_uploads,country,lowest_yearly_earnings,highest_yearly_earnings,created_year,tertiary_education_enrollment,population,unemployment_rate,channel_type,Latitude,Longitude,region
351,21100000,Baim Paula,4526271677.0,Lifestyle,2325,Indonesia,80900.0,1300000.0,2016,36.3,270203917.0,4.69,Entertainment,-0.789275,113.921327,Asia
352,21000000,nigahiga,4380564906.0,Entertainment,403,United States,7400.0,118900.0,2006,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
353,21000000,Rafa & Luiz,7762905663.0,Entertainment,2883,Brazil,355200.0,5700000.0,2015,51.3,212559417.0,12.08,Entertainment,-14.235004,-51.92528,S.America
354,21000000,Lyrical Lemonade,10631638628.0,Entertainment,420,United States,240200.0,3800000.0,2013,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
356,20900000,Dr. Vivek Bindra: Motivational Speaker,1693149479.0,Education,896,India,85800.0,1400000.0,2013,28.1,1366417754.0,5.36,Education,20.593684,78.96288,Asia
357,20900000,Fatos Desconhecidos,3828000587.0,Entertainment,6262,Brazil,157000.0,2500000.0,2013,51.3,212559417.0,12.08,Entertainment,-14.235004,-51.92528,S.America
358,20900000,Brave Wilderness,4927879069.0,Lifestyle,982,United States,0.0,0.0,2014,88.2,328239523.0,14.7,Animals,37.09024,-95.712891,N.America
359,20900000,LIV Crime,11058049885.0,Lifestyle,9850,United States,1200000.0,18400000.0,2020,88.2,328239523.0,14.7,People,37.09024,-95.712891,N.America
361,20900000,Romeo Santos,17324976752.0,Music,6,United States,0.3,5.0,2006,88.2,328239523.0,14.7,Music,37.09024,-95.712891,N.America
362,20800000,Canal Canalha,1870608170.0,Lifestyle,288,Brazil,71700.0,1100000.0,2011,51.3,212559417.0,12.08,Comedy,-14.235004,-51.92528,S.America
363,20800000,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,2378448129.0,Education,193,Germany,87800.0,1400000.0,2013,70.2,83132799.0,3.04,Education,51.165691,10.451526,Europe
364,20700000,Yoeslan,17963202261.0,Entertainment,619,United States,2600000.0,42000000.0,2020,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
365,20700000,5-Minute Crafts DIY,5091618606.0,Education,5062,United States,60000.0,960600.0,2018,88.2,328239523.0,14.7,Howto,37.09024,-95.712891,N.America
367,20700000,tuzelity SHUFFLE,8658941531.0,Lifestyle,889,Russia,1700000.0,26500000.0,2015,81.9,144373535.0,4.59,People,61.52401,105.318756,Europe
368,20700000,NBA,12624879732.0,Gaming & Sports,47926,United States,219100.0,3500000.0,2005,88.2,328239523.0,14.7,Sports,37.09024,-95.712891,N.America
369,20600000,Deddy Corbuzier,4956090094.0,Entertainment,15,Indonesia,0.26,4.0,2007,36.3,270203917.0,4.69,Entertainment,-0.789275,113.921327,Asia
370,20600000,Bizarrap,7657171980.0,Lifestyle,83,Argentina,579500.0,9300000.0,2017,90.0,44938712.0,9.79,Entertainment,-38.416097,-63.616672,S.America
371,20600000,Avicii,10292874715.0,Music,156,Sweden,243700.0,3900000.0,2009,67.0,10285453.0,6.48,Music,60.128161,18.643501,Europe
372,20500000,Mnet K-POP,15038593883.0,Entertainment,33229,South Korea,475600.0,7600000.0,2006,94.3,51709098.0,4.15,Entertainment,35.907757,127.766922,Asia
374,20500000,Ninja Kidz TV,11009148579.0,Entertainment,296,United States,585600.0,9400000.0,2017,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
375,20400000,Totoy kids - Portuguï¿½,1796227417.0,Media,206,Brazil,118500.0,1900000.0,2014,51.3,212559417.0,12.08,Film,-14.235004,-51.92528,S.America
